2020-January,244018801
2020-February,193016502
2020-March,126646473
2020-April,196421206
2020-May,201030477
2020-June,212488770
2020-July,248015167
2020-August,257965398
2020-September,265735157
2020-October,304502750
2020-November,268364022
2020-December,273018012
2021-January,270904382
2021-February,252014169
2021-March,288591672
2021-April,269894243
2021-May,276084898
2021-June,269293462
2021-July,287523291
2021-August,322550791
2021-September,317560255
2021-October,342440422
2021-November,304980644
2021-December,324911948
2022-January,318965109
2022-February,329098762
2022-March,364742249
2022-April,361934200
2022-May,404347752
2022-June,384251016
2022-July,368733660
2022-August,377025438
2022-September,316437353
2022-October,313443259
2022-November,267037551
2022-December,280958828
2023-January,301202725
2023-February,254536860
2023-March,224134167
2023-April,268882526
2023-May,300984983
2023-June,277396718
2023-July,306749527
2023-August,307350715
2023-September,304584963
2023-October,333457303
2023-November,290835269
2023-December,264837259
2024-January,305202552
2024-February,322043459
2024-March,285387427
2024-April,269878307
2024-May,297869341
2024-June,318099123
2024-July,349232111
2024-August,322490223
2024-September,326369843
2024-October,328205487
2024-November,302361735
2024-December,310123877
2025-January,345752318
2025-February,295482728
2025-March,266720620
2025-April,250333473
2025-May,201758915
2025-June,193261755
2025-July,279560172
2025-August,246883673
2025-September,233706371
2025-October,240255199
2025-November,221942848
2025-December,233188837
